date	weekday	league	home_away	half	overtime	goals
2016/5/15	周日024	德乙	海登海姆(-1)VS波鸿	0:1	2:4	6
2016/5/8	周日053	德乙	波鸿(-1)VS不伦瑞克	2:1	2:3	5
2016/5/8	周日052	德乙	慕1860(-1)VS帕德博恩	0:0	1:0	1
2016/5/8	周日051	德乙	桑德豪森(+1)VS杜伊斯堡	0:0	2:2	4
2016/5/8	周日050	德乙	弗赖堡(-1)VS海登海姆	0:0	2:0	2
2016/5/8	周日049	德乙	莱红牛(-1)VS卡斯鲁厄	0:0	2:0	2
2016/5/8	周日048	德乙	杜塞多夫(-1)VSFSV法兰	0:0	1:0	1
2016/5/8	周日047	德乙	比勒费(-1)VS柏林联合	0:0	2:0	2
2016/5/8	周日046	德乙	纽伦堡(-1)VS圣保利	1:0	1:0	1
2016/5/8	周日045	德乙	凯泽(-1)VS菲尔特	2:1	3:1	4
2016/5/3	周一005	德乙	卡斯鲁厄(-1)VS桑德豪森	0:0	3:0	3
2016/4/30	周六010	德乙	菲尔特(-1)VS海登海姆	0:1	0:2	2
2016/4/30	周六009	德乙	不伦瑞克(+1)VS纽伦堡	1:0	3:1	4
2016/4/30	周五021	德乙	帕德博恩(+1)VS弗赖堡	0:0	1:2	3
2016/4/30	周五020	德乙	莱红牛(-1)VS比勒费	1:0	1:1	2
2016/4/30	周五019	德乙	杜伊斯堡(-1)VS杜塞多夫	0:0	2:1	3
2016/4/30	周五018	德乙	FSV法兰(-1)VS凯泽	1:1	1:4	5
2016/4/30	周五017	德乙	圣保利(-1)VS慕1860	0:1	0:2	2
2016/4/30	周五016	德乙	柏林联合(-1)VS波鸿	0:0	1:0	1
2016/4/26	周一007	德乙	凯泽(+1)VS莱红牛	0:0	1:1	2
2016/4/24	周日020	德乙	慕1860(-1)VS不伦瑞克	0:0	1:0	1
2016/4/24	周日019	德乙	桑德豪森(-1)VSFSV法兰	0:0	1:0	1
